Modelo,Accuracy,Precision,Recall,F1-Score,roc_auc
Modelo Regresión Logística,0.7445961319681457,0.5122615803814714,0.8051391862955032,0.6261448792672772,0.8432783709323484
Modelo Random Forest,0.7724687144482366,0.5553719008264463,0.7194860813704497,0.6268656716417911,0.8414555056668054
Modelo XGBoost,0.7707622298065984,0.5692640692640693,0.563169164882227,0.566200215285253,0.814768525967122
